iter	RMSE
0	3.829865305
1	3.735399068
2	3.65278985
3	3.571414367
4	3.500235879
5	3.433425707
6	3.371361458
7	3.310917691
8	3.258721347
9	3.208854019
10	3.157800677
11	3.111205848
12	3.071602162
13	3.031525807
14	2.993548838
15	2.956848234
16	2.925590373
17	2.894295352
18	2.866708193
19	2.838254882
20	2.810728249
21	2.785950476
22	2.763938242
23	2.740060458
24	2.720945829
25	2.700481178
26	2.682261822
27	2.663779246
28	2.64690039
29	2.629743291
30	2.614234407
31	2.596099601
32	2.581809241
33	2.568716486
34	2.554341518
35	2.544185588
36	2.531757485
37	2.519179111
38	2.507853334
39	2.496133517
40	2.484965244
41	2.472712526
42	2.460296878
43	2.450358932
44	2.440253741
45	2.430520627
46	2.419309174
47	2.410647123
48	2.401102226
49	2.392416567
50	2.384992346
51	2.378056816
52	2.371217991
53	2.364300942
54	2.356929891
55	2.35022966
56	2.344046359
57	2.33804303
58	2.329967029
59	2.323387467
60	2.316342229
61	2.308273115
62	2.300450192
63	2.293238291
64	2.286751675
65	2.279670082
66	2.274762916
67	2.2694399
68	2.263012573
69	2.25756938
70	2.252036416
71	2.247789011
72	2.242000312
73	2.236664127
74	2.232281605
75	2.227846797
76	2.223762878
77	2.217865837
78	2.212561363
79	2.20792713
80	2.202974819
81	2.197025273
82	2.193306146
83	2.189017654
84	2.184582939
85	2.180734323
86	2.17760115
87	2.173050212
88	2.169389727
89	2.165298782
90	2.161000011
91	2.157521727
92	2.154871967
93	2.151504649
94	2.148288055
95	2.143002869
96	2.140843287
97	2.138090155
98	2.134541054
99	2.130801494
100	2.127839124
101	2.12446445
102	2.121044561
103	2.118084965
104	2.114884866
105	2.110675224
106	2.107991766
107	2.10457777
108	2.101268111
109	2.098823283
110	2.095327382
111	2.092775239
112	2.089776931
113	2.087850973
114	2.083584088
115	2.080535434
116	2.078346485
117	2.075102481
118	2.072211734
119	2.069188636
120	2.066257104
121	2.06310852
122	2.060668956
123	2.06007118
124	2.057579117
125	2.05512575
126	2.053150585
127	2.051218606
128	2.049346663
129	2.046734162
130	2.04396757
131	2.041650583
132	2.038332202
133	2.036370445
134	2.03411455
135	2.03099314
136	2.028864442
137	2.025326364
138	2.023582226
139	2.021579508
140	2.019853177
141	2.018064146
142	2.015730845
143	2.014760436
144	2.011702015
145	2.011328086
146	2.00941192
147	2.006826689
148	2.005016754
149	2.002743553
150	2.000160495
151	1.997700595
152	1.996154504
153	1.994316513
154	1.991565689
155	1.988083997
156	1.986245131
157	1.984331898
158	1.984012698
159	1.983691992
160	1.980115506
161	1.978558571
162	1.976723046
163	1.976437554
164	1.974220301
165	1.969501611
166	1.968034781
167	1.966306564
168	1.963413938
169	1.96195
170	1.961147722
171	1.959424689
172	1.957789412
173	1.955209309
174	1.953933191
175	1.952287067
176	1.95070758
177	1.94798374
178	1.946255926
179	1.945122044
180	1.94488382
181	1.944225299
182	1.94231387
183	1.940518279
184	1.939791471
185	1.938020951
186	1.936441822
187	1.936120287
188	1.93591129
189	1.935326516
190	1.935135318
191	1.93494926
192	1.934098977
193	1.933307938
194	1.931851698
195	1.930339264
196	1.92905342
197	1.928170567
198	1.927334964
199	1.925970308
200	1.92450985
201	1.924353802
202	1.922623109
203	1.920800397
204	1.92064871
205	1.918776637
206	1.917074291
207	1.915946014
208	1.913685508
209	1.911270274
210	1.910801234
211	1.910678249
212	1.91052872
213	1.908217529
214	1.906893712
215	1.906335248
216	1.903613595
217	1.903444185
218	1.901830057
219	1.900388229
220	1.897980407
221	1.896068063
222	1.894509137
223	1.893255673
224	1.892199809
225	1.891287058
226	1.889226187
227	1.888862517
228	1.888748102
229	1.886718135
230	1.885604057
231	1.885288834
232	1.884009652
233	1.882993847
234	1.881151045
235	1.880381136
236	1.880278658
237	1.8786769
238	1.877480114
239	1.875455651
240	1.874230652
241	1.871869254
242	1.870691806
243	1.8692165
244	1.867414779
245	1.865862056
246	1.863988871
247	1.862738576
248	1.861064917
249	1.859310351
250	1.857327835
251	1.855965656
252	1.855867291
253	1.854921724
254	1.852860144
255	1.851114111
256	1.849277749
257	1.847809249
258	1.846572242
259	1.844501647
260	1.843021368
261	1.841416435
262	1.840670038
263	1.839106228
264	1.837607506
265	1.83618406
266	1.835985366
267	1.834978251
268	1.834154317
269	1.833283452
270	1.832365374
271	1.828406164
272	1.825465739
273	1.824203117
274	1.823630731
275	1.82255173
276	1.820649127
277	1.818999588
278	1.817567185
279	1.816301771
280	1.814288208
281	1.813196518
282	1.813035797
283	1.812656167
284	1.811531557
285	1.811472967
286	1.809817435
287	1.808005254
288	1.806436325
289	1.80583425
290	1.804237793
291	1.803721214
292	1.803359073
293	1.801320866
294	1.800327351
295	1.800032047
296	1.798711729
297	1.797555121
298	1.795786272
299	1.795494478
300	1.793464079
301	1.791207565
302	1.791155075
303	1.79008659
304	1.788836409
305	1.787508291
306	1.783882514
307	1.782651183
308	1.780383446
309	1.778885995
310	1.778833835
311	1.775442186
312	1.773803509
